Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Total Tests
USA,45313353,,734611,,34797165,,9781577,659963506
India,33985920,1441,450991,,33320057,7606,214872,585038043
Brazil,21582738,,601266,,20694669,,286803,63776166
UK,8193769,,137763,,6686695,,1369311,314239784
Russia,7804774,,217372,,6873579,,713823,197200000
Turkey,7475115,,66368,,6927337,,481410,90202990
France,7057631,,117082,,6847617,,92932,146046715
Iran,5716394,,122868,,5234010,,359516,32619228
Argentina,5266275,,115491,,5133692,,17092,24252818
Spain,4977448,,86827,,4816194,,74427,66213858
Colombia,4973325,,126655,,4816568,,30102,26011131
Italy,4701832,,131335,,4486391,,84106,95445947
Germany,4334254,,95087,,4106300,10400,132867,73348901
Indonesia,4228552,,142716,,4063295,,22541,41849489
Mexico,3725242,2007,282227,141,3088055,6136,354960,10912276
Poland,2923304,,75869,,2669688,,177747,21291251
South Africa,2912346,,88346,,2791794,,32206,17988526
Philippines,2674814,,39660,,2536260,,98894,21828544
Ukraine,2550089,,58700,,2292480,,198909,13277259
Malaysia,2346303,,27422,,2206502,,112379,31687239
Peru,2184676,,199703,,N/A,N/A,N/A,18289317
Netherlands,2026402,,18209,,1950623,,57570,17632552
Iraq,2024705,,22591,,1948571,,53543,15418867
Thailand,1730364,9445,17835,84,1604355,11452,108174,9201621
Japan,1710973,,17941,,1681202,,11830,25400317
Czechia,1700078,,30504,,1659115,,10459,38859317
Chile,1663383,,37571,,1617035,,8777,22435648
Canada,1660000,,28213,,1588697,,43090,44186056
Bangladesh,1562958,,27699,,1524467,,10792,9975389
Romania,1365788,,39629,,1177704,,148455,13504117
Israel,1307281,,7937,,1274581,,24763,27731214
Belgium,1266562,1940,25695,7,1181547,2301,59320,20515224
Pakistan,1259648,689,28152,18,1189742,1180,41754,19953497
Sweden,1157822,,14864,,1124661,2,18297,12743845
Portugal,1075639,,18048,,1027424,,30167,19023656
Serbia,1010868,,8788,,877806,,124274,5874429
Morocco,939356,,14474,,918375,,6507,9848318
Cuba,921328,,7891,,897236,,16201,9994744
Kazakhstan,907140,1499,11584,25,848891,1435,46665,11575012
Switzerland,850679,,11146,,796932,,42601,11212163
Vietnam,843281,,20670,,784748,,37863,42517091
Jordan,834778,,10818,,809980,,13980,10373914
Hungary,829456,,30303,,789010,,10143,7071702
Nepal,802861,,11243,,776831,,14787,4296171
Austria,762538,,11106,,731698,,19734,90613959
UAE,737890,,2114,,731295,,4481,87246490
Tunisia,709866,,25039,,682624,,2203,2995453
Greece,679157,,15177,,638400,,25580,22063969
Georgia,635583,,9269,,602372,,23942,9296762
Lebanon,630382,,8389,,604324,,17669,4780275
Guatemala,579774,,14066,,548253,,17455,2686758
Belarus,559715,,4304,,534256,,21155,8889332
Saudi Arabia,547649,,8748,,536678,,2223,29430910
Costa Rica,546595,,6698,,461980,,77917,2394098
Sri Lanka,527064,,13354,,480499,,33211,5348696
Bulgaria,524333,,21813,,450662,,51858,4990220
Ecuador,512044,,32848,,443880,,35316,1871255
Bolivia,504121,199,18803,5,465574,497,19744,2445030
Azerbaijan,492790,,6677,,473790,,12323,4958312
Myanmar,479848,,18162,,432457,,29229,4520565
Panama,469190,,7271,,459210,,2709,3946061
Paraguay,460218,,16207,,443817,,194,1858923
Slovakia,425971,,12735,,395874,,17362,3696429
Croatia,418028,,8778,,400965,,8285,2916030
Palestine,414373,,4253,,393538,,16582,2538939
Kuwait,412121,,2455,,409046,,620,4482390
Ireland,404514,,5280,,360033,,39201,7616896
Uruguay,390115,,6064,,382736,,1315,3659251
Venezuela,384668,,4634,,364455,,15579,3359014
Honduras,369030,,9949,,111930,,247151,1055246
Dominican Republic,366191,,4067,,354332,,7792,2111655
Denmark,364464,,2671,,354696,,7097,84336941
Ethiopia,355001,,6026,,324450,,24525,3557710
Lithuania,353289,,5248,,317054,,30987,5177576
Libya,346813,,4792,,271450,,70571,1715631
S. Korea,334163,1347,2594,11,299260,1238,32309,15007584
Mongolia,328304,1566,1465,15,300074,,26765,4022930
Egypt,313259,,17726,,264345,,31188,3693367
Moldova,307182,,7048,,288915,,11219,1863784
Oman,303978,,4102,,299309,,567,25000000
Slovenia,301644,,4617,,285345,,11682,1621682
Bahrain,275734,,1390,,273748,,596,6612314
Armenia,272957,,5575,,249158,,18224,1811131
Kenya,251248,,5190,,244237,,1821,2609854
Bosnia and Herzegovina,241227,,10965,,192218,,38044,1253492
Qatar,237483,,607,,235925,,951,2723342
Zambia,209353,,3654,,205508,,191,2509600
Nigeria,207978,,2756,,195626,,9596,3090114
Algeria,204695,,5855,,140319,,58521,230861
North Macedonia,195002,,6849,,181196,,6957,1324894
Norway,193734,,871,,88952,,103911,7969322
Botswana,181251,,2381,,177526,,1344,1777500
Kyrgyzstan,179338,,2620,,174086,,2632,1737541
Uzbekistan,178637,,1271,,174213,,3153,1377915
Albania,175163,,2777,,165434,,6952,1240204
Latvia,172278,,2806,,152102,,17370,4559609
Estonia,165345,,1400,,149555,,14390,1982689
Afghanistan,155540,,7228,,126459,,21853,764934
Mozambique,150991,,1924,,147955,,1112,918384
Finland,147297,,1100,,46000,,100197,7202399
Montenegro,135533,,1992,,128219,,5322,764661
Zimbabwe,131875,,4643,,125479,,1753,1439811
Australia,131415,1848,1461,13,96234,,33720,40111465
Singapore,129229,,172,,102746,,26311,20013983
Ghana,128368,,1158,,124514,,2696,1781277
Namibia,128129,,3527,,123567,,1035,721198
Uganda,124736,,3177,,96289,,25270,1728303
Cyprus,119812,,560,,90755,,28497,9420908
Cambodia,115068,,2527,,108403,,4138,2509222
El Salvador,107664,,3392,,89968,,14304,1309644
Rwanda,98745,,1308,,45499,,51938,2946155
China,96435,12,4636,,91130,56,669,160000000
Cameroon,95399,,1517,,80433,,13449,1751774
Jamaica,86384,,2025,,54424,,29935,617665
Maldives,85622,,234,,84170,,1218,1531859
Luxembourg,79196,,837,,77159,,1200,3544032
Senegal,73841,,1868,,71927,,46,815169
Malawi,61679,,2290,,56482,,2907,415561
Angola,61580,,1629,,49977,,9974,1043451
Ivory Coast,60829,,669,,58967,,1193,1044828
DRC,57247,,1087,,50930,,5230,306299
Réunion,53963,,369,,53256,,338,1279618
Guadeloupe,53734,,721,,2250,,50763,467423
Trinidad and Tobago,52847,,1555,,46991,,4301,369782
Fiji,51535,,653,,47912,,2970,422600
Eswatini,46284,,1229,,44658,,397,357799
Suriname,44306,,968,,27005,,16333,135457
Madagascar,42898,,958,,41322,,618,249510
French Guiana,42794,,289,,9995,,32510,410123
Martinique,41129,,608,,104,,40417,359082
French Polynesia,40178,,629,,33500,,6049,26355
Sudan,38824,,2928,,32395,,3501,238579
Cabo Verde,37902,,346,,37102,,454,209870
Malta,37358,,459,,36233,,666,1211456
Syria,37229,,2348,,24573,,10308,103566
Mauritania,36432,,785,,35225,,422,477650
Guyana,33748,,842,,29004,,3902,333152
Gabon,32576,,205,,27466,,4905,1253654
Guinea,30523,,383,,29126,,1014,560520
Laos,28849,,30,,6558,,22261,527790
Tanzania,25957,,723,,N/A,N/A,N/A,
Togo,25788,,236,,24516,,1036,527256
Benin,24335,,159,,23257,,919,604310
Papua New Guinea,23026,,245,,19137,,3644,197329
Haiti,22614,,643,,19931,,2040,120507
Belize,22187,,427,,19182,,2578,273692
Seychelles,21638,,118,,21242,,278,21504
Bahamas,21580,,590,,19683,,1307,149289
Lesotho,21460,,652,,11885,,8923,222670
Somalia,21269,,1180,,9927,,10162,239292
Mayotte,20397,,180,,2964,,17253,176919
Timor-Leste,19673,,119,,19332,,222,169501
Burundi,19041,,38,,773,,18230,345742
Tajikistan,17084,,124,,16960,,0,
Curaçao,16804,,168,,16331,,305,292262
Taiwan,16305,,846,,15306,,153,6754661
Mauritius,16291,,110,,1854,,14327,358675
Aruba,15645,,170,,15324,,151,177885
Mali,15490,,553,,14382,,555,432310
Andorra,15307,,130,,15098,,79,193595
Nicaragua,15134,,205,,4225,,10704,
Congo,14833,,206,,12421,,2206,188207
Burkina Faso,14516,,195,,14028,,293,219552
Djibouti,13179,,174,,12662,,343,225703
Equatorial Guinea,12786,,155,,12032,,599,195087
Hong Kong,12269,,213,,11953,,103,25587465
Iceland,12243,,33,,11762,,448,1087044
South Sudan,12104,,130,,11617,,357,235462
Saint Lucia,12017,,224,,10953,,840,82160
Channel Islands,11968,,98,,11544,,326,947210
CAR,11401,,100,,6859,,4442,60228
Barbados,11132,,98,,8935,,2099,342465
Gambia,9941,,339,,9594,,8,103187
Yemen,9402,,1782,,5930,,1690,265253
New Caledonia,9186,,201,,55,,8930,42756
Brunei ,9167,,64,,6880,,2223,406629
Isle of Man,8121,,54,,7591,,476,125320
Eritrea,6755,,43,,6669,,43,23693
Sierra Leone,6396,,121,,4393,,1882,160729
Guinea-Bissau,6119,,141,,5362,,616,99530
Niger,6115,,204,,5799,,112,162213
Liberia,5801,,286,,5458,,57,128246
Gibraltar,5655,,97,,5451,,107,369608
Grenada,5653,27,183,3,5149,71,321,75017
Bermuda,5501,,89,,4600,,812,557923
San Marino,5470,,91,,5343,,36,80733
Chad,5059,,174,,4866,,19,147563
New Zealand,4704,45,28,,4182,20,494,3619154
Sint Maarten,4403,,69,,4212,,122,53105
Comoros,4166,,147,,3997,,22,
St. Vincent Grenadines,4096,,38,,2693,,1365,80024
Dominica,4020,,26,,3543,,451,80072
Saint Martin,3789,,55,,1399,,2335,54303
Antigua and Barbuda,3750,,93,,2667,,990,17674
Sao Tome and Principe,3629,,56,,3017,,556,14689
Liechtenstein,3463,,60,,3384,,19,49126
Monaco,3336,,33,,3277,,26,54960
Turks and Caicos,2898,,23,,2819,,56,94789
British Virgin Islands,2725,,37,,2649,,39,82570
Bhutan,2613,,3,,2603,,7,1166806
Saint Kitts and Nevis,2412,,19,,1347,,1046,46717
Caribbean Netherlands,2257,,19,,2064,,174,25579
St. Barth,1587,,6,,462,,1119,38369
Faeroe Islands,1301,,2,,1185,,114,447000
Cayman Islands,983,,2,,814,,167,136206
Diamond Princess,712,,13,,699,,0,
Greenland,623,,,,573,,50,79312
Anguilla,594,,1,,517,,76,42919
Wallis and Futuna,445,,7,,438,,0,20508
Macao,77,,,,64,,13,4951
Falkland Islands,68,,,,67,,1,7643
Montserrat,41,,1,,31,,9,1408
Saint Pierre Miquelon,32,,,,31,,1,9997
Vatican City,27,,,,27,,0,
Solomon Islands,20,,,,20,,0,4500
Western Sahara,10,,1,,8,,1,
MS Zaandam,9,,2,,7,,0,
Palau,8,,,,5,,3,10852
Vanuatu,4,,1,,3,,0,23000
Marshall Islands,4,,,,4,,0,
Samoa,3,,,,3,,0,
Saint Helena,2,,,,2,,0,
Micronesia,1,,,,1,,0,
